     h         inf_error   inf_error/h^4
-----------------------------------------
   5.0000e-01   4.7522e-02   7.6034e-01
   2.5000e-01   9.4673e-04   2.4236e-01
   1.2500e-01   5.6755e-05   2.3247e-01
   6.2500e-02   3.5214e-06   2.3078e-01
   3.1250e-02   2.2173e-07   2.3250e-01
   1.5625e-02   1.3848e-08   2.3234e-01
   7.8125e-03   8.6525e-10   2.3227e-01
   3.9063e-03   5.4707e-11   2.3497e-01
   1.9531e-03   5.5018e-12   3.7808e-01
   9.7656e-04   6.2741e-12   6.8984e+00
   4.8828e-04   3.9856e-11   7.0115e+02
   2.4414e-04   4.1065e-11   1.1559e+04

