>> hw5_q3
 
      h        inf_error          inf_error/h^2
-----------------------------------------------
   5.0000e-01   1.3836e+00   5.5342e+00
   2.5000e-01   3.7762e-01   6.0419e+00
   1.2500e-01   9.6569e-02   6.1804e+00
   6.2500e-02   2.4280e-02   6.2158e+00
   3.1250e-02   6.0788e-03   6.2247e+00
   1.5625e-02   1.5202e-03   6.2269e+00
   7.8125e-03   3.8010e-04   6.2275e+00
   3.9063e-03   9.5026e-05   6.2276e+00
   1.9531e-03   2.3757e-05   6.2277e+00
   9.7656e-04   5.9392e-06   6.2277e+00
   4.8828e-04   1.4848e-06   6.2277e+00
   2.4414e-04   3.7120e-07   6.2277e+00
